"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
"Example site B","Day 30","EQ-5D",16,15,11,73.3,68.8
"Example site B","Day 30","Patient satisfaction",16,15,11,73.3,68.8
"Example site B","Day 30","HRUQ",16,15,14,93.3,87.5
"Example site B","Day 90","Day 90 form",16,14,14,100,87.5
"Example site B","Day 90","EQ-5D",16,14,14,100,87.5
"Example site B","Day 90","HRUQ",16,14,12,85.7,75
"Example site C","Baseline","Randomisation",14,14,14,100,100
"Example site C","Baseline","Consent & eligibility",14,14,14,100,100
"Example site C","Baseline","EQ-5D",14,14,13,92.9,92.9
"Example site C","Discharge","Discharge form",14,14,12,85.7,85.7
"Example site C","Discharge","PRODIGI",14,14,13,92.9,92.9
"Example site C","Discharge","EQ-5D",14,14,14,100,100
"Example site C","Discharge","QoR-15",14,14,12,85.7,85.7
"Example site C","Day 30","Day 30 form",14,13,13,100,92.9
"Example site C","Day 30","EQ-5D",14,13,12,92.3,85.7
"Example site C","Day 30","Patient satisfaction",14,13,13,100,92.9
"Example site C","Day 30","HRUQ",14,13,11,84.6,78.6
"Example site C","Day 90","Day 90 form",14,12,11,91.7,78.6
"Example site C","Day 90","EQ-5D",14,12,10,83.3,71.4
"Example site C","Day 90","HRUQ",14,12,10,83.3,71.4
"Example site D","Baseline","Randomisation",12,12,12,100,100
"Example site D","Baseline","Consent & eligibility",12,12,12,100,100
"Example site D","Baseline","EQ-5D",12,12,12,100,100
"Example site D","Discharge","Discharge form",12,12,12,100,100
"Example site D","Discharge","PRODIGI",12,12,12,100,100
"Example site D","Discharge","EQ-5D",12,12,10,83.3,83.3
"Example site D","Discharge","QoR-15",12,12,12,100,100
"Example site D","Day 30","Day 30 form",12,11,11,100,91.7
"Example site D","Day 30","EQ-5D",12,11,7,63.6,58.3
"Example site D","Day 30","Patient satisfaction",12,11,9,81.8,75
"Example site D","Day 30","HRUQ",12,11,11,100,91.7
"Example site D","Day 90","Day 90 form",12,10,10,100,83.3
"Example site D","Day 90","EQ-5D",12,10,10,100,83.3
"Example site D","Day 90","HRUQ",12,10,9,90,75
"Example site E","Baseline","Randomisation",8,8,5,62.5,62.5
"Example site E","Baseline","Consent & eligibility",8,8,7,87.5,87.5
"Example site E","Baseline","EQ-5D",8,8,3,37.5,37.5
"Example site E","Discharge","Discharge form",8,8,8,100,100
"Example site E","Discharge","PRODIGI",8,8,6,75,75
"Example site E","Discharge","EQ-5D",8,8,2,25,25
"Example site E","Discharge","QoR-15",8,8,6,75,75
"Example site E","Day 30","Day 30 form",8,7,4,57.1,50
"Example site E","Day 30","EQ-5D",8,7,4,57.1,50
"Example site E","Day 30","Patient satisfaction",8,7,3,42.9,37.5
"Example site E","Day 30","HRUQ",8,7,3,42.9,37.5
"Example site E","Day 90","Day 90 form",8,7,4,57.1,50
"Example site E","Day 90","EQ-5D",8,7,5,71.4,62.5
"Example site E","Day 90","HRUQ",8,7,5,71.4,62.5
"Example site F","Baseline","Randomisation",10,10,10,100,100
"Example site F","Baseline","Consent & eligibility",10,10,10,100,100
"Example site F","Baseline","EQ-5D",10,10,9,90,90
"Example site F","Discharge","Discharge form",10,10,10,100,100
"Example site F","Discharge","PRODIGI",10,10,10,100,100
"Example site F","Discharge","EQ-5D",10,10,9,90,90
"Example site F","Discharge","QoR-15",10,10,10,100,100
"Example site F","Day 30","Day 30 form",10,9,9,100,90
"Example site F","Day 30","EQ-5D",10,9,8,88.9,80
"Example site F","Day 30","Patient satisfaction",10,9,8,88.9,80
"Example site F","Day 30","HRUQ",10,9,8,88.9,80
"Example site F","Day 90","Day 90 form",10,9,8,88.9,80
"Example site F","Day 90","EQ-5D",10,9,8,88.9,80
"Example site F","Day 90","HRUQ",10,9,8,88.9,80
"Example site G","Baseline","Randomisation",10,10,9,90,90
"Example site G","Baseline","Consent & eligibility",10,10,9,90,90
"Example site G","Baseline","EQ-5D",10,10,7,70,70
"Example site G","Discharge","Discharge form",10,10,10,100,100
"Example site G","Discharge","PRODIGI",10,10,9,90,90
"Example site G","Discharge","EQ-5D",10,10,8,80,80
"Example site G","Discharge","QoR-15",10,10,8,80,80
"Example site G","Day 30","Day 30 form",10,9,5,55.6,50
"Example site G","Day 30","EQ-5D",10,9,8,88.9,80
"Example site G","Day 30","Patient satisfaction",10,9,6,66.7,60
"Example site G","Day 30","HRUQ",10,9,6,66.7,60
"Example site G","Day 90","Day 90 form",10,9,7,77.8,70
"Example site G","Day 90","EQ-5D",10,9,8,88.9,80
"Example site G","Day 90","HRUQ",10,9,5,55.6,50
"Example site H","Baseline","Randomisation",6,6,6,100,100
"Example site H","Baseline","Consent & eligibility",6,6,6,100,100
"Example site H","Baseline","EQ-5D",6,6,6,100,100
"Example site H","Discharge","Discharge form",6,6,6,100,100
"Example site H","Discharge","PRODIGI",6,6,6,100,100
"Example site H","Discharge","EQ-5D",6,6,6,100,100
"Example site H","Discharge","QoR-15",6,6,5,83.3,83.3
"Example site H","Day 30","Day 30 form",6,6,6,100,100
"Example site H","Day 30","EQ-5D",6,6,6,100,100
"Example site H","Day 30","Patient satisfaction",6,6,6,100,100
"Example site H","Day 30","HRUQ",6,6,6,100,100
"Example site H","Day 90","Day 90 form",6,5,5,100,83.3
"Example site H","Day 90","EQ-5D",6,5,5,100,83.3
"Example site H","Day 90","HRUQ",6,5,5,100,83.3
