"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
"Example site H","Baseline","Randomisation",3,3,3,100,100
"Example site H","Baseline","Consent & eligibility",3,3,3,100,100
"Example site H","Baseline","EQ-5D",3,3,3,100,100
"Example site H","Discharge","Discharge form",3,3,3,100,100
"Example site H","Discharge","PRODIGI",3,3,3,100,100
"Example site H","Discharge","EQ-5D",3,3,3,100,100
"Example site H","Discharge","QoR-15",3,3,3,100,100
"Example site H","Day 30","Day 30 form",3,2,2,100,66.7
"Example site H","Day 30","EQ-5D",3,2,2,100,66.7
"Example site H","Day 30","Patient satisfaction",3,2,2,100,66.7
"Example site H","Day 30","HRUQ",3,2,2,100,66.7
"Example site H","Day 90","Day 90 form",3,2,2,100,66.7
"Example site H","Day 90","EQ-5D",3,2,2,100,66.7
"Example site H","Day 90","HRUQ",3,2,2,100,66.7
