"Site","Event","Form","Expected","Due","Entered","% Due Entered","% Expected Entered"
"Example site B","Day 90","HRUQ",11,7,5,71.4,45.5
"Example site C","Baseline","Randomisation",9,9,8,88.9,88.9
"Example site C","Baseline","Consent & eligibility",9,9,9,100,100
"Example site C","Baseline","EQ-5D",9,9,9,100,100
"Example site C","Discharge","Discharge form",9,9,8,88.9,88.9
"Example site C","Discharge","PRODIGI",9,9,8,88.9,88.9
"Example site C","Discharge","EQ-5D",9,9,7,77.8,77.8
"Example site C","Discharge","QoR-15",9,9,6,66.7,66.7
"Example site C","Day 30","Day 30 form",9,7,7,100,77.8
"Example site C","Day 30","EQ-5D",9,7,7,100,77.8
"Example site C","Day 30","Patient satisfaction",9,7,7,100,77.8
"Example site C","Day 30","HRUQ",9,7,6,85.7,66.7
"Example site C","Day 90","Day 90 form",9,6,6,100,66.7
"Example site C","Day 90","EQ-5D",9,6,4,66.7,44.4
"Example site C","Day 90","HRUQ",9,6,5,83.3,55.6
"Example site D","Baseline","Randomisation",8,8,8,100,100
"Example site D","Baseline","Consent & eligibility",8,8,8,100,100
"Example site D","Baseline","EQ-5D",8,8,8,100,100
"Example site D","Discharge","Discharge form",8,8,8,100,100
"Example site D","Discharge","PRODIGI",8,8,6,75,75
"Example site D","Discharge","EQ-5D",8,8,7,87.5,87.5
"Example site D","Discharge","QoR-15",8,8,6,75,75
"Example site D","Day 30","Day 30 form",8,7,7,100,87.5
"Example site D","Day 30","EQ-5D",8,7,7,100,87.5
"Example site D","Day 30","Patient satisfaction",8,7,6,85.7,75
"Example site D","Day 30","HRUQ",8,7,6,85.7,75
"Example site D","Day 90","Day 90 form",8,5,3,60,37.5
"Example site D","Day 90","EQ-5D",8,5,4,80,50
"Example site D","Day 90","HRUQ",8,5,5,100,62.5
"Example site E","Baseline","Randomisation",5,5,4,80,80
"Example site E","Baseline","Consent & eligibility",5,5,2,40,40
"Example site E","Baseline","EQ-5D",5,5,2,40,40
"Example site E","Discharge","Discharge form",5,5,3,60,60
"Example site E","Discharge","PRODIGI",5,5,2,40,40
"Example site E","Discharge","EQ-5D",5,5,4,80,80
"Example site E","Discharge","QoR-15",5,5,4,80,80
"Example site E","Day 30","Day 30 form",5,4,2,50,40
"Example site E","Day 30","EQ-5D",5,4,2,50,40
"Example site E","Day 30","Patient satisfaction",5,4,2,50,40
"Example site E","Day 30","HRUQ",5,4,2,50,40
"Example site E","Day 90","Day 90 form",5,3,2,66.7,40
"Example site E","Day 90","EQ-5D",5,3,2,66.7,40
"Example site E","Day 90","HRUQ",5,3,2,66.7,40
"Example site F","Baseline","Randomisation",6,6,6,100,100
"Example site F","Baseline","Consent & eligibility",6,6,6,100,100
"Example site F","Baseline","EQ-5D",6,6,6,100,100
"Example site F","Discharge","Discharge form",6,6,6,100,100
"Example site F","Discharge","PRODIGI",6,6,5,83.3,83.3
"Example site F","Discharge","EQ-5D",6,6,6,100,100
"Example site F","Discharge","QoR-15",6,6,5,83.3,83.3
"Example site F","Day 30","Day 30 form",6,5,5,100,83.3
"Example site F","Day 30","EQ-5D",6,5,5,100,83.3
"Example site F","Day 30","Patient satisfaction",6,5,5,100,83.3
"Example site F","Day 30","HRUQ",6,5,4,80,66.7
"Example site F","Day 90","Day 90 form",6,4,4,100,66.7
"Example site F","Day 90","EQ-5D",6,4,3,75,50
"Example site F","Day 90","HRUQ",6,4,4,100,66.7
"Example site G","Baseline","Randomisation",7,7,5,71.4,71.4
"Example site G","Baseline","Consent & eligibility",7,7,7,100,100
"Example site G","Baseline","EQ-5D",7,7,4,57.1,57.1
"Example site G","Discharge","Discharge form",7,7,6,85.7,85.7
"Example site G","Discharge","PRODIGI",7,7,5,71.4,71.4
"Example site G","Discharge","EQ-5D",7,7,6,85.7,85.7
"Example site G","Discharge","QoR-15",7,7,6,85.7,85.7
"Example site G","Day 30","Day 30 form",7,6,6,100,85.7
"Example site G","Day 30","EQ-5D",7,6,2,33.3,28.6
"Example site G","Day 30","Patient satisfaction",7,6,3,50,42.9
"Example site G","Day 30","HRUQ",7,6,2,33.3,28.6
"Example site G","Day 90","Day 90 form",7,4,3,75,42.9
"Example site G","Day 90","EQ-5D",7,4,2,50,28.6
"Example site G","Day 90","HRUQ",7,4,2,50,28.6
"Example site H","Baseline","Randomisation",4,4,4,100,100
"Example site H","Baseline","Consent & eligibility",4,4,4,100,100
"Example site H","Baseline","EQ-5D",4,4,4,100,100
"Example site H","Discharge","Discharge form",4,4,4,100,100
"Example site H","Discharge","PRODIGI",4,4,4,100,100
"Example site H","Discharge","EQ-5D",4,4,4,100,100
"Example site H","Discharge","QoR-15",4,4,4,100,100
"Example site H","Day 30","Day 30 form",4,3,3,100,75
"Example site H","Day 30","EQ-5D",4,3,3,100,75
"Example site H","Day 30","Patient satisfaction",4,3,3,100,75
"Example site H","Day 30","HRUQ",4,3,3,100,75
"Example site H","Day 90","Day 90 form",4,3,3,100,75
"Example site H","Day 90","EQ-5D",4,3,3,100,75
"Example site H","Day 90","HRUQ",4,3,3,100,75
