Site,Event,Form,Expected,Due,Entered,% Due Entered,% Expected Entered
Royal London Hospital,Baseline,Demographics,18,18,17,94.4,94.4
Royal London Hospital,Baseline,Medical history,18,18,17,94.4,94.4
Royal London Hospital,Baseline,Surgical details,18,18,18,100.0,100.0
Royal London Hospital,Baseline,QoL (EQ-5D),18,18,16,88.9,88.9
Royal London Hospital,Baseline,Consent form,18,18,18,100.0,100.0
Royal London Hospital,Discharge,Post-op complications,18,18,17,94.4,94.4
Royal London Hospital,Discharge,Medication log,18,18,17,94.4,94.4
Royal London Hospital,Discharge,Discharge summary,18,18,17,94.4,94.4
Royal London Hospital,Day 30,Follow-up assessment,18,15,13,86.7,72.2
Royal London Hospital,Day 30,QoL (EQ-5D),18,15,13,86.7,72.2
Royal London Hospital,Day 30,Adverse events,18,15,13,86.7,72.2
Royal London Hospital,Day 30,Wound assessment,18,15,12,80.0,66.7
Royal London Hospital,Day 90,Follow-up assessment,18,11,8,72.7,44.4
Royal London Hospital,Day 90,QoL (EQ-5D),18,11,8,72.7,44.4
Royal London Hospital,Day 90,Adverse events,18,11,8,72.7,44.4
Royal London Hospital,Day 90,Patient satisfaction,18,11,7,63.6,38.9
